releaseYear,lifetime_gross,imdb_averageRating,studio
2014,84273813,5.4,WB (NL)
2017,32187017,5.6,WB (NL)
2015,1872994,6.9,Uni.
2016,60323786,6.2,Fox
2017,86089513,3.4,Sony
releaseYear,lifetime_gross,imdb_averageRating,studio
1939,100138851,7.8,BV
1941,76408097,7.7,Dis.
1950,89325780,7.1,BV
1954,53672080,7.6,Par.
1969,102308889,8.0,Fox
1974,86273333,8.0,Fox
1976,32211330,7.3,Par.
1977,29000000,5.6,Dis.
1977,39588000,6.3,BV
1979,21671241,6.5,Uni.
1980,27107960,6.5,Uni.
1981,34967437,7.3,WB
1981,50427646,6.8,Uni.
1981,26154211,5.0,Fox
1981,12376625,6.6,Par.
1981,35856053,6.7,Fox
1984,36403064,6.6,Uni.
1984,18644570,5.8,Fox
1984,12145169,6.3,Fox
1984,153083102,7.3,WB
1985,14972297,5.1,BV
1985,9708373,7.0,BV
1987,59735548,7.8,Fox
1988,32078318,7.1,Par.
1988,11798302,3.8,WB
1989,19131246,6.0,BV
1989,27545445,8.0,Uni.
1989,111543479,7.6,BV
1989,58571513,6.8,Uni.
1990,21413502,6.4,Fox
1990,19740070,5.6,BV
1991,54830779,6.3,WB
1991,7788597,5.8,WB
1992,40693477,5.8,BV
1992,28590665,5.9,WB
1992,173585516,6.8,Fox
1992,48169910,7.7,WB
1992,50752337,6.5,BV
1992,3067917,6.5,Uni.
1993,17957265,6.1,Fox
1993,63179523,6.2,Fox
1994,16827402,6.2,Fox
1994,42614912,5.5,Par.
1995,24361867,7.4,Sony
1994,18137661,5.6,Par.
1994,33683817,6.5,Fox
1994,38824341,6.7,Uni.
1994,144833357,6.5,BV
1995,30303072,6.3,WB
1995,13071518,6.9,Uni.
1995,19699706,5.2,Sony
1996,560069,6.9,Sony
1996,20080020,5.3,Uni.
1997,44229441,7.3,DW
1997,6492660,6.4,Par.
1997,4529843,4.5,Uni.
1997,49323468,5.5,Fox
1998,161491646,6.1,BV
1998,22852487,6.0,BV
1998,111549836,7.3,BV
1998,5878911,6.1,Sony
1998,2172941,4.0,WB
2000,22753426,6.6,Fox
1999,35188640,6.6,Uni.
1999,34105207,6.5,BV
1998,135026902,6.8,Uni.
1999,24756177,7.2,Sony
2000,36050230,4.8,Sony
2001,139692,6.9,Fox
2000,6291602,5.6,Sony
2001,56569702,6.9,Sony
2000,90464773,6.5,WB
2001,10424470,5.4,Uni.
2001,289916256,8.1,BV
2001,17008282,6.3,WB
2000,14967182,5.1,WB
2000,115654751,7.8,BV
2000,32598931,6.3,WB
2000,38182790,6.8,Par.
2002,741394,6.4,WB
2004,11663156,5.4,DW
2002,43061982,6.2,BV
2001,55001642,6.3,Fox
2002,145794338,7.3,BV
2002,48430258,5.8,BV
2003,3095506,5.4,Uni.
2002,16357770,7.1,WB
2002,14118751,6.9,Uni.
2002,30113491,5.6,WB
2005,51268815,7.2,WB
2003,56127162,5.5,Fox
2003,104297061,5.6,SonR
2003,305413918,8.1,BV
2002,19184820,5.4,Par.
2003,75847266,5.2,BV
2004,58169327,5.8,Par.
2006,198000317,6.4,WB
2015,652270625,6.9,Uni.
2008,318412101,7.9,Par.
2004,176241941,7.7,Uni.
2007,24540079,8.0,LGF
2005,21845719,6.6,BV
2005,35818913,6.8,DW
2005,39053061,6.5,WB
2005,100492203,8.1,WB
2005,63946815,6.3,BV
2005,32868349,5.8,Par.
2008,48006762,6.0,Fox
2007,16383509,6.8,Uni.
2006,36280697,6.1,Fox
2006,84500122,4.8,BV
2006,48548426,2.8,Fox
2007,25612520,5.9,WB
2006,53089891,8.5,BV
2008,134508551,6.7,Uni.
2008,141621490,6.5,BV
2007,43799818,5.2,WB
2008,11803254,5.1,Fox
2008,32235793,3.8,Par.
2008,13011160,7.6,LGF
2011,39565475,5.1,Uni.
2009,31720158,6.7,P/DW
2010,92186262,7.5,WB
2008,52075270,6.5,LGF
2010,217581231,8.1,P/DW
2007,7498716,3.6,Sony
2009,145000989,7.8,Fox
2010,105269730,6.6,Uni.
2009,43337279,4.9,Sony
2012,51774002,4.3,Sony
2008,25534493,6.3,LGF
2009,38122883,6.3,WB
2013,89302115,6.4,BV
2008,14190901,1.9,LGF
2014,99112101,6.0,BV
2010,103068524,6.4,LGF
2010,400738009,6.2,BV
2015,161197785,7.8,Uni.
2013,132556852,6.7,Fox
2011,26692846,7.1,BV
2013,274092705,7.7,WB
2011,55100437,6.1,BV
2014,65014513,6.0,Fox
2012,41152203,5.7,LGF
2015,70259870,7.8,Par.
2014,100206256,7.9,WB
2012,83670083,5.7,WB
2013,150394119,7.0,WB (NL)
2017,64508620,7.2,Uni.
2015,8110975,6.6,WB
2014,115637895,7.2,Uni.
2014,233921534,7.9,Fox
2012,93772375,7.3,Par.
2012,113721571,6.1,WB
2014,23022309,6.2,WB
2014,222527828,7.8,BV
2017,155385488,5.4,Uni.
2015,89256424,6.0,Fox
2016,1935539,5.8,Sony
2014,3322127,6.7,WB
2014,25317379,6.4,Par.
2014,71962800,6.4,Uni.
2015,110212700,6.2,Uni.
2014,705908,6.6,Par.
2015,14440985,6.1,LGF
2015,35088320,5.7,WB
2015,42725475,6.2,Uni.
2016,27383770,6.8,Par.
2018,40891591,7.8,WB
2018,58032443,6.2,Fox
2016,72679278,6.8,WB
2017,1100000,6.3,Uni.
1939,42779261,6.6,Fox
1950,12706478,7.2,BV
1954,36764313,8.5,Par.
1956,58406347,7.0,Fox
1967,167445960,5.0,Sony
1970,5050000,7.0,Uni.
1973,39768000,7.2,WB
1978,81766007,5.8,Uni.
1979,20931111,6.0,Dis.
1979,43885000,6.1,AIP
1980,26010864,8.2,Par.
1980,4309490,6.8,Uni.
1980,44781695,8.4,WB
1981,11099118,7.3,Par.
1982,18196170,6.8,Uni.
1983,30036000,7.5,Uni.
1982,7400000,6.4,BV
1984,17080167,6.0,Uni.
1985,45875171,7.8,Uni.
1985,50612888,6.9,Uni.
1985,75973200,6.1,Fox
1985,55600000,5.7,WB
1986,14205021,5.7,Uni.
1987,153665036,6.5,Par.
1987,51249404,7.2,Fox
1987,14182492,6.7,Uni.
1988,13994920,7.3,WB
1988,18869631,6.0,WB
1988,8038508,7.2,Fox
1988,25537221,6.2,WB
1988,22433275,6.3,Fox
1988,156452370,7.7,BV
1989,251348343,7.5,WB
1989,35150960,6.1,Uni.
1989,71079915,6.2,BV
1991,29888235,6.3,BV
1991,113502426,6.9,Par.
1991,26255594,6.2,Par.
1991,25682090,6.2,WB
1991,36489888,6.6,Par.
1992,122006740,6.3,WB
1992,24276506,6.6,Fox
1992,20883046,6.0,Uni.
1992,52929168,7.6,Fox
1992,14715067,6.9,Par.
1993,68856263,7.0,BV
1993,6995302,7.1,WB
1993,77698625,6.0,WB
1993,32901136,7.7,BV
1993,32434006,7.8,Fox
1994,16820893,5.7,Par.
1994,15240435,5.2,Fox
1994,8880705,6.3,BV
1994,21006361,6.6,BV
1994,141843612,6.0,Dis.
1994,20016254,6.7,WB
1995,14942422,5.9,Fox
1997,2099677,7.0,Sony
1996,38619405,6.8,Par.
1996,48102795,5.7,BV
1997,172956409,6.5,Sony
1997,11438337,4.8,Sony
1997,26673242,6.6,Par.
1998,25232289,7.0,WB
1997,28084357,7.3,BV
1997,5936344,6.4,Fox
1997,64616940,8.2,WB
