releaseMonth,lifetime_gross,imdb_averageRating
9,285585,6.1
5,12264319,5.6
4,46437717,6.3
3,30241,6.6
5,553504,7.5
8,58169327,5.8
11,198000317,6.4
1,192186,5.4
1,5178569,2.4
6,652270625,6.9
5,318412101,7.9
7,176241941,7.7
1,11050094,7.5
7,24540079,8
11,17083732,4.9
4,21845719,6.6
7,35818913,6.8
6,39053061,6.5
1,100492203,8.1
7,63946815,6.3
7,32868349,5.8
4,48006762,6
10,16383509,6.8
4,23637265,7.8
3,11718595,7.2
10,87039965,6.6
8,11449638,3.9
8,45090374,6.4
4,194523,6.5
7,37151,6.8
11,131719,6.2
4,36280697,6.1
11,84500122,4.8
5,2266905,7.8
2,48548426,2.8
3,2912606,7.2
4,25442958,7.7
11,74283625,8.2
6,25612520,5.9
10,53089891,8.5
4,173066,6.1
6,134508551,6.7
5,141621490,6.5
7,43799818,5.2
7,11803254,5.1
4,4502604,4.6
1,6623082,7.1
4,347578,5.4
1,50927067,7.8
4,769726,4.9
6,32235793,3.8
10,13011160,7.6
8,39565475,5.1
4,31720158,6.7
9,92186262,7.5
4,52075270,6.5
3,217581231,8.1
7,7498716,3.6
1,145000989,7.8
5,105269730,6.6
1,22911480,7.3
8,23530831,6.9
10,2926565,6.4
11,3512016,7
6,43337279,4.9
2,51774002,4.3
3,4543320,5
2,5101237,7.4
10,25534493,6.3
11,38122883,6.3
12,6532874,8.4
7,89302115,6.4
8,37400127,7.2
8,14190901,1.9
7,99112101,6
9,58401464,7
8,103068524,6.4
3,400738009,6.2
8,161197785,7.8
7,132556852,6.7
8,24922237,6.4
7,26692846,7.1
10,274092705,7.7
2,55100437,6.1
12,65014513,6
5,89237,6.5
11,77247,6.6
12,63012,7.3
11,5704709,6.4
5,41152203,5.7
12,70259870,7.8
6,100206256,7.9
3,83670083,5.7
12,1879534,7.2
8,150394119,7
1,64508620,7.2
1,3395391,6.6
11,15026056,6.2
1,8110975,6.6
1,26068955,6.1
12,115637895,7.2
3,18007317,5.7
5,233921534,7.9
11,93772375,7.3
3,51872378,6.7
6,113721571,6.1
7,100144,6
7,12795746,7.2
9,18612,6.3
4,23022309,6.2
11,222527828,7.8
6,155385488,5.4
7,1301696,7
1,89256424,6
9,1935539,5.8
5,1436243,7.3
3,3322127,6.7
12,25317379,6.4
4,8821329,5.5
7,336472,7.3
7,71962800,6.4
8,3106530,8.1
7,110212700,6.2
10,705908,6.6
11,109057,7.4
3,14674076,6.8
4,2228951,5.4
8,14440985,6.1
10,35088320,5.7
2,3469224,7.6
4,3351735,6.2
8,4030360,6.6
12,42725475,6.2
8,27383770,6.8
4,151042,5.9
1,40891591,7.8
1,58032443,6.2
9,72679278,6.8
12,2152738,7.3
4,51499,8.2
6,1100000,6.3
12,42779261,6.6
4,11242660,7.5
4,12706478,7.2
9,36764313,8.5
4,1085,7.5
12,58406347,7
4,167445960,5
6,43084787,6.8
6,5050000,7
12,39768000,7.2
5,21700000,7
3,34251525,6.6
12,33833201,7.2
6,81766007,5.8
6,20931111,6
4,30441738,6.8
4,43885000,6.1
4,39946780,7.8
12,14287755,6.7
10,26010864,8.2
9,4309490,6.8
6,44781695,8.4
11,42365581,6.9
12,11099118,7.3
5,18196170,6.8
6,76606280,7.3
3,30036000,7.5
7,7400000,6.4
11,16894678,5.6
3,12049108,5.9
9,4786789,6.9
5,17080167,6
8,4116395,6.1
2,45875171,7.8
5,50612888,6.9
12,75973200,6.1
3,55600000,5.7
5,150415432,6.5
6,4135750,8.2
12,3940542,8
2,138530565,8.1
5,40996665,5.6
6,16209459,5.6
5,40697761,6.6
8,14205021,5.7
5,153665036,6.5
12,51249404,7.2
9,2484230,7.6
12,2063688,7.8
10,14182492,6.7
3,13994920,7.3
4,18869631,6
2,20256975,5.5
8,25816139,6.3
9,8038508,7.2
6,25537221,6.2
7,22433275,6.3
3,15855828,6.1
1,4385516,6.2
5,53715611,5.8
4,1547397,5
6,156452370,7.7
6,251348343,7.5
3,35150960,6.1
6,13741060,6.3
7,34667015,6.6
7,71079915,6.2
7,21460601,6.5
2,29888235,6.3
8,2554476,6.9
12,35419397,6.7
9,1382462,4.8
11,113502426,6.9
9,26255594,6.2
10,25682090,6.2
5,36489888,6.6
